,Date,Virginia,Maryland,District of Columbia
0,2000-01-31,135464.0,163092.0,192820.0
1,2000-02-29,135950.0,163118.0,193822.0
2,2000-03-31,136404.0,163321.0,194755.0
3,2000-04-30,137219.0,163739.0,196867.0
4,2000-05-31,137933.0,164460.0,198841.0
5,2000-06-30,138580.0,165197.0,201092.0
6,2000-07-31,139410.0,166016.0,203114.0
7,2000-08-31,140356.0,166690.0,204786.0
8,2000-09-30,141377.0,167406.0,205993.0
9,2000-10-31,142304.0,168196.0,205943.0
10,2000-11-30,143286.0,169034.0,206349.0
11,2000-12-31,144311.0,169986.0,206879.0
12,2001-01-31,145353.0,170717.0,208134.0
13,2001-02-28,146244.0,171450.0,209277.0
14,2001-03-31,147218.0,172083.0,210733.0
15,2001-04-30,148219.0,173039.0,212977.0
16,2001-05-31,149341.0,174050.0,215203.0
17,2001-06-30,150396.0,175236.0,217352.0
18,2001-07-31,151552.0,176419.0,219572.0
19,2001-08-31,152662.0,177743.0,222163.0
20,2001-09-30,153831.0,179066.0,224946.0
21,2001-10-31,154934.0,180301.0,227707.0
22,2001-11-30,156130.0,181546.0,230301.0
23,2001-12-31,157236.0,182848.0,233013.0
24,2002-01-31,158286.0,184193.0,235559.0
25,2002-02-28,159365.0,185500.0,238241.0
26,2002-03-31,160517.0,186853.0,240421.0
27,2002-04-30,161830.0,188409.0,243152.0
28,2002-05-31,163129.0,190340.0,246075.0
29,2002-06-30,164579.0,192426.0,249499.0
30,2002-07-31,166081.0,194667.0,252689.0
31,2002-08-31,167667.0,196924.0,255691.0
32,2002-09-30,169222.0,199124.0,259015.0
33,2002-10-31,170729.0,201243.0,262654.0
34,2002-11-30,172142.0,203164.0,267219.0
35,2002-12-31,173457.0,205206.0,271751.0
36,2003-01-31,174597.0,207092.0,275607.0
37,2003-02-28,175834.0,209106.0,278938.0
38,2003-03-31,177170.0,211125.0,281871.0
39,2003-04-30,178753.0,213375.0,285417.0
40,2003-05-31,180454.0,215794.0,289008.0
41,2003-06-30,182212.0,218485.0,292867.0
42,2003-07-31,184143.0,221258.0,296611.0
43,2003-08-31,186078.0,224111.0,300160.0
44,2003-09-30,188089.0,227027.0,303714.0
45,2003-10-31,190147.0,230011.0,307935.0
46,2003-11-30,192118.0,232736.0,311331.0
47,2003-12-31,194019.0,235286.0,314441.0
48,2004-01-31,195726.0,237632.0,317765.0
49,2004-02-29,197758.0,240277.0,321459.0
50,2004-03-31,200162.0,242910.0,325766.0
51,2004-04-30,203040.0,246130.0,329667.0
52,2004-05-31,206437.0,249666.0,334559.0
53,2004-06-30,210216.0,253919.0,339887.0
54,2004-07-31,214478.0,258424.0,346371.0
55,2004-08-31,218870.0,263449.0,352051.0
56,2004-09-30,223220.0,268395.0,359145.0
57,2004-10-31,226913.0,272877.0,367746.0
58,2004-11-30,230112.0,277015.0,376082.0
59,2004-12-31,233354.0,281070.0,381428.0
60,2005-01-31,236734.0,285282.0,383073.0
61,2005-02-28,239996.0,289271.0,387764.0
62,2005-03-31,243570.0,293274.0,394185.0
63,2005-04-30,247722.0,298183.0,402602.0
64,2005-05-31,252709.0,303641.0,408358.0
65,2005-06-30,257434.0,309740.0,414121.0
66,2005-07-31,261955.0,315982.0,420840.0
67,2005-08-31,265932.0,322319.0,428621.0
68,2005-09-30,270055.0,327594.0,435528.0
69,2005-10-31,273587.0,332512.0,440346.0
70,2005-11-30,276895.0,336147.0,444904.0
71,2005-12-31,279477.0,340416.0,449296.0
72,2006-01-31,281835.0,343517.0,453887.0
73,2006-02-28,284242.0,346980.0,457496.0
74,2006-03-31,286698.0,350583.0,461363.0
75,2006-04-30,288831.0,354834.0,464563.0
76,2006-05-31,290147.0,358883.0,467029.0
77,2006-06-30,290988.0,361808.0,467738.0
78,2006-07-31,291801.0,364296.0,466756.0
79,2006-08-31,292267.0,366066.0,465879.0
80,2006-09-30,292119.0,367206.0,464882.0
81,2006-10-31,291635.0,367344.0,463232.0
82,2006-11-30,291239.0,367362.0,460724.0
83,2006-12-31,291063.0,367080.0,458752.0
84,2007-01-31,290785.0,366990.0,458509.0
85,2007-02-28,290762.0,366762.0,460288.0
86,2007-03-31,290731.0,367068.0,461793.0
87,2007-04-30,291032.0,367366.0,462807.0
88,2007-05-31,290613.0,367457.0,463003.0
89,2007-06-30,289688.0,366852.0,462888.0
90,2007-07-31,288111.0,365794.0,462795.0
91,2007-08-31,286675.0,364757.0,462584.0
92,2007-09-30,285484.0,363691.0,462566.0
93,2007-10-31,284500.0,361879.0,463272.0
94,2007-11-30,283461.0,358849.0,463439.0
95,2007-12-31,281924.0,355696.0,462824.0
96,2008-01-31,280213.0,353308.0,461849.0
97,2008-02-29,278317.0,351485.0,460649.0
98,2008-03-31,276053.0,349431.0,459169.0
99,2008-04-30,273511.0,346732.0,457004.0
100,2008-05-31,270783.0,343021.0,455009.0
101,2008-06-30,268585.0,338560.0,453116.0
102,2008-07-31,266149.0,333307.0,449835.0
103,2008-08-31,263468.0,328421.0,445615.0
104,2008-09-30,260785.0,323702.0,442368.0
105,2008-10-31,258739.0,319541.0,441045.0
106,2008-11-30,257068.0,316273.0,439548.0
107,2008-12-31,255490.0,313096.0,437182.0
108,2009-01-31,253625.0,309916.0,436881.0
109,2009-02-28,251912.0,306307.0,437311.0
110,2009-03-31,250230.0,302637.0,437008.0
111,2009-04-30,248804.0,298943.0,433858.0
112,2009-05-31,247546.0,295565.0,429964.0
113,2009-06-30,246324.0,293041.0,427791.0
114,2009-07-31,245223.0,290415.0,424908.0
115,2009-08-31,244091.0,288192.0,422658.0
116,2009-09-30,243024.0,285618.0,419635.0
117,2009-10-31,242120.0,283882.0,416604.0
118,2009-11-30,241770.0,282574.0,416112.0
119,2009-12-31,241886.0,281816.0,418256.0
120,2010-01-31,242418.0,281512.0,420736.0
121,2010-02-28,242852.0,280890.0,420798.0
122,2010-03-31,243298.0,280584.0,419885.0
123,2010-04-30,243778.0,280348.0,421709.0
124,2010-05-31,244105.0,280654.0,426455.0
125,2010-06-30,243899.0,280382.0,430633.0
126,2010-07-31,242912.0,279316.0,432098.0
127,2010-08-31,241730.0,277174.0,432316.0
128,2010-09-30,240618.0,274848.0,430384.0
129,2010-10-31,239705.0,272752.0,428714.0
130,2010-11-30,238745.0,270667.0,425645.0
131,2010-12-31,238068.0,268582.0,425398.0
132,2011-01-31,237456.0,266733.0,423987.0
133,2011-02-28,236799.0,265905.0,423848.0
134,2011-03-31,235991.0,265675.0,422804.0
135,2011-04-30,235290.0,265140.0,422908.0
136,2011-05-31,234585.0,263926.0,422646.0
137,2011-06-30,233948.0,262581.0,422482.0
138,2011-07-31,233241.0,260942.0,422868.0
139,2011-08-31,232715.0,259257.0,422099.0
140,2011-09-30,232021.0,257409.0,421859.0
141,2011-10-31,231336.0,256291.0,420738.0
142,2011-11-30,230812.0,255596.0,420378.0
143,2011-12-31,230677.0,254982.0,419118.0
144,2012-01-31,230717.0,254142.0,419591.0
145,2012-02-29,231067.0,253657.0,419048.0
146,2012-03-31,231489.0,253752.0,420819.0
147,2012-04-30,231860.0,254184.0,420598.0
148,2012-05-31,232161.0,254522.0,421954.0
149,2012-06-30,232293.0,254709.0,424337.0
150,2012-07-31,232486.0,254954.0,429213.0
151,2012-08-31,232522.0,255156.0,434518.0
152,2012-09-30,232791.0,255476.0,439461.0
153,2012-10-31,233473.0,255825.0,444935.0
154,2012-11-30,234618.0,256605.0,450560.0
155,2012-12-31,235620.0,257517.0,456610.0
156,2013-01-31,236744.0,258828.0,457728.0
157,2013-02-28,237714.0,260298.0,457259.0
158,2013-03-31,238874.0,262076.0,456510.0
159,2013-04-30,239707.0,263847.0,461677.0
160,2013-05-31,240366.0,265719.0,469646.0
161,2013-06-30,240904.0,267222.0,476147.0
162,2013-07-31,241588.0,268602.0,481512.0
163,2013-08-31,242397.0,269661.0,485670.0
164,2013-09-30,243379.0,271102.0,490008.0
165,2013-10-31,244107.0,272583.0,494324.0
166,2013-11-30,244915.0,274503.0,498833.0
167,2013-12-31,245669.0,275831.0,503255.0
168,2014-01-31,246746.0,277065.0,507984.0
