,RegionName,State,CountyName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
25,Washington,DC,District of Columbia,2057.6017103356635,2072.761328214015,2093.61658011408,2123.862704562924,2121.546904765094,2125.718537219638,2121.3732973957767,2141.0545281190084,2142.863701663176,2146.502390665209,2138.6647338763787,2150.9067990321705,2156.993312861674,2164.3575966315216,2163.779755010226,2175.9580379888744,2169.404407196835,2183.441251099885,2182.323643837716,2189.850085408385,2172.231624415349,2160.379176923292,2164.806676780096,2171.0039130236305,2182.8012444242986,2195.645347422492,2216.7763301703453,2233.617098522844,2237.30144047066,2236.665308703563,2233.08638693726,2221.052845403884,2206.2973188551086,2203.474107918576,2201.808088135784,2209.3393412337105,2202.724597437452,2217.6359420558097,2226.368596002923,2251.912560789979,2264.1810996234462,2282.187608173152,2278.368267267149,2271.099303924127,2260.2221601853216,2255.6098257035305,2265.500429417996,2269.2792581998133,2276.4977639742933,2279.859752076372,2299.819888007896,2320.2540164469865,2335.661463389888,2340.205649084369,2346.4823181427028,2343.057619947708,2334.184623175131,2323.627122996371,2320.490200081207,2325.761456292724,2341.3512348667905,2347.221207864193,2338.410927547767,2323.0921406826624,2313.149405983584,2300.029369508303,2270.8131396785184,2235.315246550883,2202.5570092659414,2178.7696468225013,2168.97576566978,2181.6226209294928,2192.9061016987885,2212.178933789369,2234.192098785212,2274.202097433156,2319.3554124324983,2362.006355641423,2392.0488245306587,2406.1990276065603,2411.2906756687216,2413.1910695204056,2422.1615781231194,2424.976483710839,2436.1512330268547,2453.788913196975,2471.144884424001,2488.708759564936,2498.901444471916,2517.228726353605,2528.6714483084315
32,Baltimore,MD,Baltimore City,1293.04791627446,1300.447019962664,1304.352257690649,1311.591892972127,1317.362184975438,1325.8050358743033,1324.9085603285305,1315.305887972209,1310.7886069552571,1317.6339524789846,1318.7601944733055,1316.1826036657592,1320.4693792383548,1328.5253410069508,1336.5421652466614,1339.3963935873014,1342.1079256291289,1341.5471224623811,1330.6031057337989,1322.5692398586875,1314.8109095399775,1307.082502334656,1306.8276804984268,1325.6962642798528,1335.8606217791962,1347.9983192213576,1352.3718053085097,1360.4441079903029,1369.1076522341098,1360.363732541988,1355.0689666563692,1349.7493105060926,1340.8361221990158,1339.4904210404516,1326.2552662245478,1328.6242942172182,1338.8618238553486,1357.2231492039848,1372.7498991595696,1375.8643260448644,1375.6196124634816,1372.3698830229582,1365.5562786093524,1360.6254842299504,1351.752839531469,1353.8822839619745,1357.925892883691,1374.3024484313487,1384.8722275865744,1392.6252389062215,1396.3421785928967,1404.7010681093664,1410.9988003921555,1408.614203959004,1398.666874683972,1383.3051692485349,1379.2158475380652,1384.9267588310272,1397.9228149420644,1399.267872842654,1395.6068821796357,1390.4013205203323,1393.804874291962,1401.0334285275142,1408.9312761578851,1404.5822459630087,1402.1228588320953,1395.7303159053258,1401.734390431328,1406.7781392531697,1415.0413967763086,1422.8136796581298,1428.3835511306936,1449.0646196785522,1476.784589392788,1515.3099881117407,1553.6887601019914,1574.38883263986,1582.6724615483363,1567.341737988928,1580.1893307300008,1588.2249940083088,1603.458895735018,1605.3487595411675,1608.6154779549493,1626.2963898960256,1635.2108004432714,1651.8697519542527,1657.6698352681667,1662.7632882981695,1660.8543537175135
48,Virginia Beach,VA,Virginia Beach City,1298.7857853764592,1299.9904017837705,1303.9152945812275,1307.1586349489255,1310.8351379571343,1307.8801440055877,1302.5861743689204,1295.5856459881163,1293.3680177904996,1295.1401821353936,1303.397003138003,1308.2766894643962,1314.2137207620694,1316.3557154527095,1324.461110977399,1325.4000090734853,1327.887838398762,1322.3160436699209,1320.8868960945176,1315.2565399387163,1308.2643040557036,1310.790775784815,1319.8502492582925,1335.1942168876385,1342.5998119216415,1347.4442982560802,1347.2298896089446,1352.8597394522317,1356.9458236513667,1361.7007284290917,1366.1516942020792,1359.0824560305591,1358.9817464627124,1349.8233837677142,1351.8778111094327,1356.7721074678368,1367.232810790934,1381.5823793529144,1388.7318557045298,1387.274462887082,1386.80999046872,1388.7558360394944,1389.4427229880305,1387.4222724443262,1390.2175524885383,1391.0360456728272,1394.6472918427655,1403.8126901066942,1418.8094368188222,1423.5220722272677,1426.7781889129217,1430.417976963226,1440.045614903801,1440.361233901088,1441.7168728269571,1439.7298262320442,1439.695116217314,1432.1244054942813,1428.1713697846524,1426.1231531326084,1436.4036235925137,1444.690032515417,1446.16783541055,1448.2748690280523,1463.0154264639011,1481.842534373174,1505.36164529841,1514.9519879672464,1517.9805394636828,1517.3426490813397,1516.870589362043,1535.7856255277238,1549.0300285976398,1578.7290416688772,1613.9624493744525,1651.3989158306342,1692.9604746605023,1721.7617866669843,1751.3184200560831,1757.0861544384488,1754.9952226876646,1749.3496411167475,1753.7951444575897,1753.367470555672,1768.6032210110516,1782.9498940923754,1810.5895950036247,1837.497229282388,1858.2071021006843,1867.0088029937715,1876.2792077765016
73,Silver Spring,MD,Montgomery County,1584.737260408356,1595.5097823005858,1582.485078793769,1583.9569994532103,1590.3674632191637,1604.717545923903,1610.3444312153802,1606.320130281159,1615.904109852758,1613.6227765302438,1618.2810886598934,1617.3402371194272,1617.59367013652,1618.6534690523856,1621.0093519971067,1625.3352106152315,1631.8437536305678,1630.7780717204212,1613.2218237959898,1601.8470955816165,1600.5428899970796,1612.23481869103,1645.4094262520264,1660.754240881437,1675.6426873853031,1663.327367394854,1658.4848965288504,1664.2103148686797,1666.834598717301,1672.288182631414,1662.4063730697856,1660.7995511832723,1659.157216523981,1653.797083194108,1647.1382837637082,1646.1030689969264,1655.779811423325,1668.5834977628913,1684.3564490201643,1697.4050297241015,1706.3950013390506,1706.1317757739516,1692.6789072250838,1683.3360125326053,1685.0868925155328,1709.2629590629165,1717.4158339425112,1724.4771085648242,1721.2899212320656,1728.497209619144,1737.3712493568055,1747.668399746059,1752.736350961485,1753.7485680111286,1756.0352360781596,1757.1777660514908,1758.4349489316733,1754.822971194738,1757.5549587786345,1757.6800797963697,1758.3827211599569,1744.7455987995493,1736.663035630208,1732.765155075829,1733.805327320419,1724.7536844291878,1703.338216524733,1688.362340517513,1673.6854242304212,1678.896309163411,1684.3282246820493,1696.8941718196525,1700.4272074411829,1710.022362138776,1724.3616753558715,1755.1884046532468,1795.2754948556542,1838.5057400585915,1850.2200643152337,1868.321490979472,1884.760344394392,1900.3893147532551,1890.108871248413,1881.8828981953543,1899.712284767776,1936.0121011808403,1962.9940635588375,1980.8748214274208,1989.378431413597,1992.4089514073423,1985.6115232160644
109,Norfolk,VA,Norfolk City,1058.0973541512967,1077.8196751723638,1081.3766570226114,1089.0785631193871,1080.6552516514694,1092.4430451827166,1085.6855945830553,1093.2239690212891,1089.0045932820476,1095.0354257567224,1088.8755617905165,1103.7358971507576,1104.2691055855523,1115.1663883122246,1102.2870282550882,1104.7582310568828,1096.301394293058,1097.7083889874095,1092.24230593369,1092.379573562986,1090.8588662440975,1096.7981521117788,1107.6906082228372,1116.2762709706246,1132.94416424392,1143.4213232472762,1148.0910204622044,1133.85851306031,1130.303509552282,1131.6263352333597,1139.4202355051425,1134.2227806149224,1133.615882220319,1133.7973045317656,1136.2718365664196,1141.614359237259,1152.078328220116,1162.7678764675252,1167.5531152488074,1162.9865369883753,1166.7990735847964,1162.221384844631,1162.888489057471,1154.0203048360108,1162.050529773014,1167.135143740706,1175.8131934022445,1179.045904568757,1183.5210816614988,1188.936194139021,1190.496820387523,1198.3512634703588,1203.5827064131515,1205.3179149484497,1206.4549780080968,1207.889829998079,1214.1814792990326,1217.0176554705042,1218.3017840796465,1217.7915987364534,1230.187607364667,1229.8485999133463,1230.1958345967037,1225.003020189415,1243.823256432005,1266.6523331995918,1276.0931708546332,1276.672804706558,1281.3327436870447,1285.971954439491,1298.1719821798808,1298.0055534237365,1298.7077179365838,1303.9438166470454,1309.8178675498227,1338.704611547945,1368.5334832018614,1405.0040020721103,1427.4831767032251,1449.1604484735426,1441.0214284274864,1461.2272925564548,1444.262444798011,1460.1432167960668,1445.8565114030157,1455.1965272525706,1462.8126162490764,1481.89154496591,1516.5928828466847,1546.6962868480723,1573.831880713797
111,Chesapeake,VA,Chesapeake City,1369.6061628621308,1372.8079438712475,1373.858846421086,1375.3566546827522,1377.3240783340168,1378.707775137345,1379.726916375637,1380.4853201593976,1371.1331656454868,1374.9688531707527,1380.9351527177623,1386.5328197579447,1391.8877893865515,1389.1680151204423,1390.474775750085,1375.998076986769,1371.9960980052697,1373.2430972918053,1383.154894708604,1382.376972428738,1377.8300753395197,1376.5380126842758,1384.180485711207,1394.6477363374224,1398.8853594361772,1406.2041160094248,1411.2186298690683,1412.6751533360516,1410.2947305531354,1407.579498889663,1407.0735430903314,1407.5302649142982,1408.765797661738,1411.9992724423023,1412.623580559772,1415.0728430415893,1421.6582587588384,1423.6203788238774,1426.22870575336,1425.771404867718,1430.877648696798,1433.2017902808875,1430.8043230725625,1429.1524809598293,1429.5974290613688,1433.6015287544608,1434.2391341405776,1442.2448007615435,1447.9931148447604,1453.8024741114975,1454.1090426145954,1472.8065569622647,1477.207979519008,1478.9348673454117,1466.6422181286368,1468.891967028461,1472.8191836055933,1471.399867058918,1476.4631092960822,1483.426401767603,1489.6608316925042,1477.8836135642755,1468.2213683088185,1467.8323243581149,1492.0307335638906,1508.3639562299477,1524.9515484871522,1525.012946271361,1535.0989376030657,1546.9669243728456,1550.927581800023,1547.8923933733486,1546.2500372995933,1568.036636226257,1598.1327925734497,1633.204671436948,1668.895758077069,1706.6282558899468,1744.8476601680622,1747.9725207459555,1747.510249601199,1744.077209980865,1756.630140882408,1753.1422774125654,1744.1503656644122,1756.913848781856,1790.4567308583714,1821.2633777284493,1826.0710206559047,1830.2310966810965,1827.5898965214717
116,Arlington,VA,Arlington County,2040.722887733952,2048.743714838391,2042.5725739608408,2058.064320024362,2065.9310842056275,2064.623973469053,2059.3771921944376,2056.34912465982,2057.553459763449,2068.312885480144,2056.0485215775625,2041.5617673362767,2037.2661095508165,2053.2471900660616,2072.182389877547,2094.732808356365,2046.745739252684,2068.402383767642,2066.412505106561,2125.200705389881,2095.146355316225,2082.311003215272,2075.6386736497525,2088.948869707042,2103.0254605427,2124.133721245483,2155.9396032207883,2180.0164217920665,2181.5883519501963,2178.3235961526498,2164.25951328853,2166.770853946144,2135.02248375252,2098.416493985345,2075.0713242564293,2089.3077609679794,2119.4032989724783,2145.8297499655223,2168.527384014948,2192.308189335283,2205.368808701731,2214.6790878143765,2203.469763220892,2194.468333160199,2168.6968345140003,2162.1946331985923,2157.0899293021776,2168.06732833696,2185.848740209244,2206.288950399648,2226.291511585039,2243.4752920520264,2253.5423409099567,2258.805318579161,2252.306150584383,2245.405826647086,2230.775633842318,2222.415047066582,2218.625639809736,2233.2391035081005,2244.835425242097,2240.20184737607,2223.910160389213,2207.835145833858,2192.309283822036,2167.348162416033,2132.6791801782165,2091.5168903806943,2048.8972280770063,2050.261574224304,2045.328326299992,2060.0313120241285,2049.292943786919,2079.533605507931,2128.129689907116,2189.6274164836886,2253.471820168164,2308.170743895848,2341.5914329689417,2356.981239904233,2355.0641229962,2357.9427065302534,2350.458931671952,2350.099774680838,2354.8585965012626,2369.885085154692,2394.3259674716305,2432.0744349940187,2477.401874885247,2515.620626821152,2529.729043507008
120,Richmond,VA,Richmond City,972.9215190402527,982.0866339093276,1000.7550544188052,996.5822006167872,999.7811555300884,1009.0724864743275,1009.7528203246212,1001.8801842487828,1010.485549766286,1023.3198620297852,1034.68874291525,1023.9668007503536,1041.517061419855,1046.9847204701284,1053.2312031771328,1041.483210467607,1057.4824993644868,1057.3569776449392,1060.1708068441892,1037.0670076822887,1042.3060902526709,1039.1389400364203,1053.4566310856096,1064.1907830648286,1075.2027149733226,1084.6218896866674,1088.4581825976009,1096.3735509697856,1100.8147665904085,1094.1392861367474,1088.2469471899872,1084.4121446380136,1088.5630813161415,1097.0967929538358,1100.7214355379667,1109.4988229480985,1117.7253686979957,1132.5358086569915,1147.165628304799,1154.5718749761395,1150.9302751940534,1142.5696247294077,1134.1584766192825,1137.101128192251,1143.971017484487,1147.245041391801,1149.8256491390564,1154.3642429951678,1170.5669849743188,1182.053761421211,1191.4405820346062,1191.150526409065,1190.557806000906,1189.392877198112,1192.7329606579335,1192.2779262808472,1195.283269571872,1200.1683232434686,1206.3180164791736,1212.6975738600968,1219.0905688527548,1221.784461579405,1231.2846959980052,1230.4217839590103,1238.9305849416207,1239.07081982218,1242.9851317347343,1241.9192279897416,1242.6292421873868,1247.059217005595,1252.4545287033725,1250.462834404769,1260.363921678931,1271.5137275397765,1296.5258946232848,1319.3399252356514,1346.3215741155257,1357.7710510855334,1368.2776460023515,1381.19436476412,1405.5056793381798,1425.9002999415304,1408.3395949132505,1414.0879301207035,1418.1562646883558,1456.1525859450187,1477.5562419737148,1495.2104017511804,1520.90816096789,1532.414640198511,1556.3241955164035
131,Woodbridge,VA,Prince William County,1572.6020366523908,1576.2079637020595,1594.902156520189,1598.2977412926043,1597.0934342635262,1596.2197031936348,1593.2557898494968,1595.1638379099206,1589.1336777584816,1584.7114224254296,1580.910089356646,1584.5652444720204,1599.5914532414763,1609.0982365832558,1617.199203688692,1614.0826965718884,1615.7707537385809,1617.600317557974,1619.037743461212,1618.2244811083694,1610.4454175320936,1613.236177233827,1619.8813113056956,1628.4404215909271,1630.4258751441455,1630.2462658142383,1638.4799534887163,1642.5621994099802,1642.0790070253984,1638.561785176373,1634.149434156574,1636.9254789657984,1621.8934476526963,1641.0541456139636,1645.5857260294974,1664.0438630892186,1646.339042764129,1648.1858328483386,1653.7920653026754,1666.6995173587711,1679.1184104798867,1685.5181831086832,1682.6944529371017,1669.1729258508333,1670.0677722512607,1673.5869524607897,1681.4060982097,1682.8911345105544,1692.913785358122,1702.9127984147815,1712.3484566507443,1718.2390405684514,1719.2556941691946,1726.0045667439708,1726.1244940723009,1733.2092641469771,1716.405236962452,1714.8606456416824,1711.120633331241,1725.5861114349802,1729.6142988322804,1729.7291626365802,1722.328632501469,1716.2531705501156,1721.686456245854,1734.491455326203,1744.509466725095,1741.4916161884698,1733.8135237270103,1733.3261167578537,1750.828510728271,1766.4078037036936,1791.1469577736905,1800.6120090773063,1819.0132507913715,1845.5348913520631,1893.014499887995,1933.1695773255524,1942.3572164718075,1928.2298062393347,1911.0429544829,1924.3093029379995,1937.6175023771457,1969.615789855466,1982.221230284881,2020.1686225760272,2055.951652832908,2097.009573818438,2108.8611649315803,2105.970681174814,2093.1025153978903
140,Alexandria,VA,Alexandria City,1794.4779185253317,1807.5854875631169,1787.2495671271367,1792.7569995500749,1807.2636728766583,1821.6681700562165,1832.101167792268,1824.64221192295,1816.4693643338032,1796.6660676540955,1812.6683678452837,1823.0852059117028,1849.0866687636649,1843.2919905889728,1845.196158131493,1834.7430819682536,1798.2185193218725,1814.9331490188868,1821.1432512675865,1858.9668622340043,1847.2543258344767,1837.879367231388,1820.412723174736,1820.172935787655,1834.528347365914,1854.0971891899064,1864.638218728494,1869.3983029312128,1854.1871191238663,1844.993598600744,1843.6826137959972,1862.827849467916,1858.9921578455435,1851.409946419874,1840.482516432304,1845.9827986814917,1857.4996891435064,1873.997934958415,1887.007238116042,1908.3782009785812,1915.7781527253271,1923.2412644908504,1904.17333158476,1892.6630800485204,1886.6343207709872,1884.1202258377236,1900.1949940697168,1905.8716025150995,1920.369798848217,1929.0009234523247,1938.6217741784249,1948.8768119010604,1948.765932504639,1945.6358625222072,1936.269378105114,1928.212136656232,1927.2541661491136,1925.5213548597903,1934.0293632631128,1946.0607934872976,1959.287395760975,1965.270568578356,1952.5818373157904,1940.7554814554987,1929.462887801301,1920.252021208444,1901.4163241623123,1878.304583023821,1849.8274330002832,1841.5620162238647,1842.5255234229128,1859.4783532766469,1870.9036164333536,1893.7782333891037,1915.2599876429963,1943.9664111532363,1964.3425808098568,1987.7765335128736,2005.623490710121,2027.213663478496,2043.8689568877612,2071.2299736501373,2084.366812781104,2109.886301495424,2117.172879057067,2128.2668704726816,2137.0940573080666,2147.935051839885,2161.0527437298,2162.7744533375185,2162.2805563781235
