,CountyName,Date,Value
117,Montgomery County,2020-06-30,1215
118,Montgomery County,2020-06-30,1290
119,Montgomery County,2020-07-31,941
120,Montgomery County,2020-07-31,4
121,Montgomery County,2020-06-30,2978
122,Montgomery County,2021-03-31,1947
123,Montgomery County,2020-06-30,2788
124,Montgomery County,2021-03-31,1958
125,Montgomery County,2020-05-31,2954
126,Montgomery County,2020-06-30,4
127,Montgomery County,2020-06-30,2566
128,Montgomery County,2020-06-30,2435
129,Montgomery County,2020-06-30,2286
130,Prince Georges County,2016-03-31,1461
131,Montgomery County,2020-06-30,2028
132,Montgomery County,2020-06-30,1970
133,Montgomery County,2021-03-31,1835
134,Montgomery County,2020-06-30,1907
135,Montgomery County,2020-06-30,1837
136,Montgomery County,2020-06-30,1815
137,Montgomery County,2020-06-30,1759
138,Montgomery County,2020-06-30,939
139,Montgomery County,2020-06-30,1733
140,Montgomery County,2021-03-31,2019
141,Montgomery County,2020-06-30,1582
142,Montgomery County,2021-01-31,2792
143,Montgomery County,2020-07-31,1319
144,Montgomery County,2020-07-31,1235
145,Montgomery County,2020-05-31,2556
146,Montgomery County,2021-03-31,1162
147,Montgomery County,2020-08-31,1725
148,Montgomery County,2020-08-31,1660
149,Montgomery County,2020-08-31,1375
150,Montgomery County,2020-08-31,1245
151,Montgomery County,2020-08-31,1014
152,Montgomery County,2020-08-31,5
153,Montgomery County,2021-03-31,1252
154,Montgomery County,2020-07-31,2985
155,Montgomery County,2020-07-31,2819
156,Montgomery County,2021-03-31,1420
157,Montgomery County,2020-07-31,2551
158,Montgomery County,2021-03-31,1629
159,Montgomery County,2021-03-31,1701
160,Montgomery County,2020-07-31,2407
161,Montgomery County,2020-07-31,2361
162,Montgomery County,2020-07-31,2080
163,Montgomery County,2020-07-31,2009
164,Montgomery County,2020-07-31,1981
165,Montgomery County,2020-07-31,1843
166,Montgomery County,2020-07-31,1824
167,Montgomery County,2020-07-31,1782
168,Montgomery County,2021-03-31,1801
169,Montgomery County,2020-07-31,1734
170,Montgomery County,2020-07-31,1595
171,Montgomery County,2020-05-31,2772
172,Montgomery County,2020-05-31,2464
173,Montgomery County,2020-08-31,1740
174,Montgomery County,2020-03-31,2783
175,Montgomery County,2020-04-30,1745
176,Montgomery County,2020-04-30,1734
177,Montgomery County,2021-04-30,1366
178,Montgomery County,2021-04-30,1429
179,Montgomery County,2021-04-30,1655
180,Montgomery County,2020-04-30,1704
181,Montgomery County,2020-04-30,1567
182,Montgomery County,2020-04-30,1172
183,Montgomery County,2020-04-30,910
184,Montgomery County,2020-04-30,4
186,Montgomery County,2020-03-31,3050
187,Montgomery County,2020-03-31,2531
188,Montgomery County,2020-05-31,2319
189,Montgomery County,2020-03-31,2370
190,Montgomery County,2020-03-31,2307
191,Montgomery County,2020-03-31,2071
192,Montgomery County,2020-03-31,2003
193,Montgomery County,2020-03-31,1829
194,Montgomery County,2020-03-31,1817
195,Montgomery County,2020-03-31,1787
196,Montgomery County,2020-03-31,1759
197,Montgomery County,2020-03-31,1739
198,Montgomery County,2020-03-31,1563
199,Montgomery County,2020-03-31,1103
200,Montgomery County,2020-03-31,882
201,Montgomery County,2020-04-30,1821
202,Montgomery County,2020-04-30,1826
203,Montgomery County,2020-04-30,1990
204,Montgomery County,2020-04-30,2069
205,Montgomery County,2020-05-31,2046
206,Montgomery County,2020-05-31,1977
207,Montgomery County,2021-03-31,2136
208,Montgomery County,2020-05-31,1813
209,Prince Georges County,2016-03-31,1513
210,Montgomery County,2021-03-31,2420
211,Montgomery County,2020-05-31,1812
212,Montgomery County,2020-05-31,1811
213,Montgomery County,2020-05-31,1755
214,Montgomery County,2020-05-31,1737
215,Montgomery County,2020-05-31,1568
216,Montgomery County,2021-03-31,2441
217,Montgomery County,2020-05-31,1229
218,Montgomery County,2020-05-31,1202
219,Montgomery County,2021-03-31,2824
220,Montgomery County,2021-03-31,2960
221,Montgomery County,2020-05-31,871
222,Montgomery County,2020-05-31,5
223,Montgomery County,2020-04-30,3005
224,Montgomery County,2020-04-30,2759
225,Montgomery County,2020-04-30,2544
226,Montgomery County,2021-04-30,41
227,Montgomery County,2021-04-30,1084
228,Montgomery County,2020-04-30,2442
229,Montgomery County,2020-04-30,2342
230,Montgomery County,2021-03-31,25
231,Montgomery County,2020-08-31,1863
232,Montgomery County,2020-08-31,1824
233,Montgomery County,2020-11-30,2435
234,Montgomery County,2020-12-31,1849
235,Montgomery County,2020-12-31,1772
236,Montgomery County,2020-12-31,1679
237,Montgomery County,2021-02-28,1697
238,Montgomery County,2020-12-31,1644
239,Montgomery County,2020-12-31,1598
240,Montgomery County,2020-12-31,1221
241,Montgomery County,2020-12-31,998
242,Montgomery County,2020-12-31,7
244,Montgomery County,2020-11-30,2990
245,Montgomery County,2020-11-30,2805
246,Montgomery County,2021-02-28,1813
247,Montgomery County,2020-12-31,2000
248,Montgomery County,2020-11-30,2402
249,Montgomery County,2020-11-30,2218
250,Montgomery County,2020-11-30,2153
251,Montgomery County,2020-11-30,2017
252,Montgomery County,2020-11-30,1963
253,Prince Georges County,2016-03-31,1313
254,Montgomery County,2020-11-30,1844
255,Prince Georges County,2016-03-31,1326
256,Montgomery County,2021-02-28,1824
257,Montgomery County,2020-11-30,1835
258,Montgomery County,2020-11-30,1765
259,Montgomery County,2020-11-30,1674
260,Montgomery County,2020-12-31,1947
261,Montgomery County,2020-12-31,2132
262,Montgomery County,2021-01-31,2455
263,Montgomery County,2021-02-28,1127
264,Montgomery County,2021-01-31,2923
265,Montgomery County,2021-01-31,2378
266,Montgomery County,2021-01-31,2140
267,Montgomery County,2021-01-31,2098
268,Prince Georges County,2016-03-31,1260
269,Montgomery County,2021-01-31,1986
270,Montgomery County,2021-01-31,1933
271,Montgomery County,2021-01-31,1829
272,Montgomery County,2021-02-28,18
273,Montgomery County,2021-02-28,1030
274,Montgomery County,2021-01-31,1796
275,Montgomery County,2021-01-31,1792
276,Montgomery County,2021-01-31,1685
277,Prince Georges County,2016-03-31,1306
278,Montgomery County,2021-01-31,1627
279,Montgomery County,2021-01-31,1190
280,Montgomery County,2021-01-31,1075
281,Montgomery County,2021-01-31,998
282,Montgomery County,2021-01-31,10
283,Montgomery County,2021-02-28,1221
284,Montgomery County,2020-12-31,2942
285,Montgomery County,2020-12-31,2790
286,Montgomery County,2020-12-31,2428
287,Montgomery County,2020-12-31,2385
288,Montgomery County,2020-12-31,2139
289,Montgomery County,2021-02-28,1640
290,Montgomery County,2020-11-30,1631
291,Montgomery County,2021-02-28,1936
292,Montgomery County,2020-11-30,1201
293,Montgomery County,2020-09-30,1027
294,Montgomery County,2020-09-30,2095
295,Montgomery County,2020-09-30,2021
296,Prince Georges County,2016-03-31,1543
297,Montgomery County,2020-09-30,1987
298,Montgomery County,2020-09-30,1841
299,Montgomery County,2020-09-30,1818
300,Montgomery County,2020-09-30,1750
301,Montgomery County,2020-09-30,1704
302,Montgomery County,2020-09-30,1669
303,Montgomery County,2020-09-30,1309
304,Montgomery County,2021-02-28,2469
305,Montgomery County,2020-09-30,1258
306,Montgomery County,2021-02-28,2828
307,Montgomery County,2020-11-30,990
308,Montgomery County,2021-02-28,2881
309,Montgomery County,2020-09-30,5
310,Montgomery County,2020-08-31,3003
311,Montgomery County,2020-08-31,2870
312,Montgomery County,2020-08-31,2530
313,Prince Georges County,2016-03-31,1369
314,Montgomery County,2020-08-31,2431
315,Montgomery County,2020-08-31,2397
316,Montgomery County,2020-08-31,2074
318,Montgomery County,2020-08-31,2019
319,Montgomery County,2020-08-31,1993
320,Montgomery County,2020-09-30,2434
321,Montgomery County,2020-09-30,2441
322,Montgomery County,2021-02-28,2383
323,Montgomery County,2020-09-30,2498
324,Montgomery County,2020-11-30,5
326,Montgomery County,2020-10-31,2954
327,Montgomery County,2020-10-31,2833
328,Montgomery County,2020-10-31,2468
329,Montgomery County,2020-10-31,2390
330,Montgomery County,2020-10-31,2345
331,Montgomery County,2020-10-31,2129
332,Montgomery County,2020-10-31,2017
333,Montgomery County,2020-10-31,1972
334,Montgomery County,2020-10-31,1832
335,Montgomery County,2020-10-31,1829
336,Montgomery County,2021-02-28,1956
337,Montgomery County,2020-10-31,1748
338,Montgomery County,2020-10-31,1689
339,Montgomery County,2020-10-31,1682
340,Montgomery County,2020-10-31,1241
341,Montgomery County,2021-02-28,2012
342,Montgomery County,2021-02-28,2015
343,Montgomery County,2020-10-31,1234
344,Montgomery County,2021-02-28,2115
345,Montgomery County,2020-10-31,1036
346,Montgomery County,2020-10-31,6
347,Montgomery County,2020-09-30,2926
348,Montgomery County,2020-09-30,2871
349,Montgomery County,2020-03-31,4
350,Montgomery County,2020-02-29,1758
352,Montgomery County,2019-05-31,2280
353,Montgomery County,2019-05-31,2042
354,Prince Georges County,2016-04-30,1302
355,Montgomery County,2019-05-31,1816
356,Montgomery County,2019-05-31,1738
357,Montgomery County,2019-05-31,1738
358,Montgomery County,2019-05-31,1676
359,Montgomery County,2019-05-31,1554
360,Montgomery County,2019-05-31,1222
361,Montgomery County,2019-05-31,1069
362,Montgomery County,2019-05-31,1046
363,Montgomery County,2019-05-31,980
364,Montgomery County,2019-05-31,1
365,Montgomery County,2019-04-30,2955
366,Montgomery County,2019-04-30,2704
367,Montgomery County,2019-04-30,2523
368,Montgomery County,2019-04-30,2331
369,Montgomery County,2019-04-30,2302
370,Montgomery County,2019-04-30,2041
371,Montgomery County,2019-04-30,2021
372,Montgomery County,2019-04-30,1805
373,Montgomery County,2019-04-30,1740
374,Montgomery County,2019-04-30,1729
375,Montgomery County,2019-04-30,1668
376,Montgomery County,2019-04-30,1538
377,Montgomery County,2019-04-30,1094
378,Montgomery County,2019-04-30,1074
379,Montgomery County,2019-04-30,1036
380,Montgomery County,2019-04-30,944
381,Montgomery County,2019-04-30,1
382,Montgomery County,2019-05-31,2056
383,Montgomery County,2019-05-31,2348
384,Prince Georges County,2016-04-30,1199
385,Montgomery County,2019-05-31,2542
386,Montgomery County,2019-07-31,1793
387,Montgomery County,2019-07-31,1753
388,Montgomery County,2019-07-31,1680
389,Montgomery County,2019-07-31,1573
390,Montgomery County,2019-07-31,1277
